id,message,Communication,Electricity,Food,Infrastructure,Medical,Not Related,Rescue,Sanitation & Hygiene,Shelter,Transportation,Water
8,"Floodwaters rising, we need evacuation now! Families with children need safe shelters! Buildings unstable, engineers needed for inspection!",0,0,0,1,0,0,1,0,1,0,0
9,"No toilets, sanitation crisis happening! Food distribution center is empty, need immediate assistance!",0,0,1,0,0,0,0,1,0,0,0
10,"No soap or clean water, people getting sick! No way to evacuate, transport needed urgently! No radio signals, emergency response affected! Generators running out of fuel, shelters in darkness!",1,1,0,0,0,0,0,1,0,1,0
11,"Public buildings damaged, unsafe for use! Power lines down, no electricity in the area!",0,1,0,1,0,0,0,0,0,0,0
12,"Hunger crisis here, send food packages urgently!",0,0,1,0,0,0,0,0,0,0,0
13,"Public buildings damaged, unsafe for use! Families are starving, emergency food needed!",0,0,1,1,0,0,0,0,0,0,0
15,Need satellite phones for coordination! Hospitals need power backup immediately!,1,1,0,0,0,0,0,0,0,0,0
16,"Water supply cut off, no drinking water available! Families with children need safe shelters! No soap or clean water, people getting sick!",0,0,0,0,0,0,0,1,1,0,1
17,"We need tents and blankets, it's freezing!",0,0,0,0,0,0,0,0,1,0,0
18,"Hospital overcrowded, need more medical staff! Floodwaters contaminated our water supply, need purification!",0,0,0,0,1,0,0,0,0,0,1
19,"Medical aid needed, many are injured! Public buildings damaged, unsafe for use! No way to evacuate, transport needed urgently!",0,0,0,1,1,0,0,0,0,1,0
20,"Buildings unstable, engineers needed for inspection! Floodwaters contaminated our water supply, need purification!",0,0,0,1,0,0,0,0,0,0,1
21,"Roads destroyed, blocking aid transport! Roads blocked, can't transport food and aid! Food distribution center is empty, need immediate assistance! No toilets, sanitation crisis happening!",0,0,1,1,0,0,0,1,0,1,0
22,"Internet failure, can't reach authorities! We need tents and blankets, it's freezing!",1,0,0,0,0,0,0,0,1,0,0
23,"We need bottled water and filtration kits! Hospital overcrowded, need more medical staff! Ambulance stuck, need assistance clearing roads!",0,0,0,0,1,0,0,0,0,1,1
24,"No radio signals, emergency response affected! No doctors or first aid available, please help!",1,0,0,0,1,0,0,0,0,0,0
26,"Need satellite phones for coordination! Hospital overcrowded, need more medical staff! Our house was destroyed, need shelter urgently!",1,0,0,0,1,0,0,0,1,0,0
27,"Ambulance stuck, need assistance clearing roads! People are trapped, rescue teams needed! Buildings unstable, engineers needed for inspection!",0,0,0,1,0,0,1,0,0,1,0
28,"Generators running out of fuel, shelters in darkness! Food distribution center is empty, need immediate assistance! We need bottled water and filtration kits! Airport shut down, supplies not reaching us!",0,1,1,0,0,0,0,0,0,1,1
29,"Public buildings damaged, unsafe for use! Roads blocked, can't transport food and aid!",0,0,0,1,0,0,0,0,0,1,0
31,"No place to stay, sleeping outside in the cold! Airport shut down, supplies not reaching us! People with chronic illnesses need immediate medication!",0,0,0,0,1,0,0,0,1,1,0
32,"Helicopter rescue required, no way to escape!",0,0,0,0,0,0,1,0,0,0,0
33,"Elderly and disabled stuck, urgent rescue help required! Power lines down, no electricity in the area! We have no food left, please send supplies! Evacuation centers are full, more shelter required!",0,1,1,0,0,0,1,0,1,0,0
34,Hospitals need power backup immediately!,0,1,0,0,0,0,0,0,0,0,0
35,"We need canned food, baby formula, and clean drinking water!",0,0,1,0,0,0,0,0,0,0,0
36,"Bridges collapsed, can't access affected areas! Floodwaters contaminated our water supply, need purification! Bridge collapsed, need alternative routes!",0,0,0,1,0,0,0,0,0,1,1
37,"Helicopter rescue required, no way to escape! Our house was destroyed, need shelter urgently! Roads blocked, can't transport food and aid!",0,0,0,0,0,0,1,0,1,1,0
39,"Our house was destroyed, need shelter urgently!",0,0,0,0,0,0,0,0,1,0,0
40,"Water pipelines broken, supply disrupted! We have no food left, please send supplies! Sewage leaking, risk of outbreak! Ambulance stuck, need assistance clearing roads!",0,0,1,1,0,0,0,1,0,1,0
41,"We have no food left, please send supplies! Emergency responders can't charge equipment, need electricity! Water supply cut off, no drinking water available!",0,1,1,0,0,0,0,0,0,0,1
42,"Urgent need for antibiotics and painkillers! Ambulance stuck, need assistance clearing roads! We need bottled water and filtration kits! A building collapsed, people are inside!",0,0,0,0,1,0,1,0,0,1,1
43,"Hospital overcrowded, need more medical staff! People are trapped, rescue teams needed! Ambulance stuck, need assistance clearing roads! Evacuation centers are full, more shelter required!",0,0,0,0,1,0,1,0,1,1,0
44,"Food distribution center is empty, need immediate assistance! No soap or clean water, people getting sick! Evacuation centers are full, more shelter required!",0,0,1,0,0,0,0,1,1,0,0
45,"People with chronic illnesses need immediate medication! Families with children need safe shelters! Water supply cut off, no drinking water available! We have no food left, please send supplies!",0,0,1,0,1,0,0,0,1,0,1
46,"Families are starving, emergency food needed! Power lines down, no electricity in the area!",0,1,1,0,0,0,0,0,0,0,0
47,"Hospitals need power backup immediately! Hospital overcrowded, need more medical staff! No place to stay, sleeping outside in the cold!",0,1,0,0,1,0,0,0,1,0,0
48,"We need canned food, baby formula, and clean drinking water! Public buildings damaged, unsafe for use! Roads blocked, can't transport food and aid!",0,0,1,1,0,0,0,0,0,1,0
49,"Urgent: Clean water required for survival! No soap or clean water, people getting sick! Urgent need for antibiotics and painkillers! Generators running out of fuel, shelters in darkness!",0,1,0,0,1,0,0,1,0,0,1
50,"No way to evacuate, transport needed urgently! Phone networks down, no way to call for help! Water pipelines broken, supply disrupted!",1,0,0,1,0,0,0,0,0,1,0
51,"Garbage piling up, need sanitation workers now! Power lines down, no electricity in the area! Our house was destroyed, need shelter urgently!",0,1,0,0,0,0,0,1,1,0,0
52,"Elderly and disabled stuck, urgent rescue help required!",0,0,0,0,0,0,1,0,0,0,0
53,"Floodwaters rising, we need evacuation now! No soap or clean water, people getting sick! Roads destroyed, blocking aid transport!",0,0,0,1,0,0,1,1,0,0,0
54,"People are trapped, rescue teams needed! Hunger crisis here, send food packages urgently! No way to evacuate, transport needed urgently! Hygiene kits needed to prevent disease spread!",0,0,1,0,0,0,1,1,0,1,0
55,"People are trapped, rescue teams needed!",0,0,0,0,0,0,1,0,0,0,0
56,"No doctors or first aid available, please help! Lost contact with loved ones, any updates? People are trapped, rescue teams needed! Power lines down, no electricity in the area!",1,1,0,0,1,0,1,0,0,0,0
57,"Medical aid needed, many are injured!",0,0,0,0,1,0,0,0,0,0,0
58,"Families are starving, emergency food needed! Evacuation centers are full, more shelter required! No radio signals, emergency response affected!",1,0,1,0,0,0,0,0,1,0,0
59,"Garbage piling up, need sanitation workers now! No radio signals, emergency response affected! Buildings unstable, engineers needed for inspection!",1,0,0,1,0,0,0,1,0,0,0
60,"Lost contact with loved ones, any updates? Evacuation centers are full, more shelter required!",1,0,0,0,0,0,0,0,1,0,0
61,"People are trapped, rescue teams needed! Urgent: Clean water required for survival!",0,0,0,0,0,0,1,0,0,0,1
62,"Elderly and disabled stuck, urgent rescue help required! No radio signals, emergency response affected!",1,0,0,0,0,0,1,0,0,0,0
63,"Need satellite phones for coordination! Urgent: Clean water required for survival! Hospitals need power backup immediately! Medical aid needed, many are injured!",1,1,0,0,1,0,0,0,0,0,1
64,"Roads destroyed, blocking aid transport! Ambulance stuck, need assistance clearing roads! Emergency responders can't charge equipment, need electricity! No toilets, sanitation crisis happening!",0,1,0,1,0,0,0,1,0,1,0
65,"We need canned food, baby formula, and clean drinking water! Urgent need for antibiotics and painkillers!",0,0,1,0,1,0,0,0,0,0,0
66,"Families are starving, emergency food needed! Running out of clean water, people are dehydrated! Our house was destroyed, need shelter urgently!",0,0,1,0,0,0,0,0,1,0,1
67,"Emergency responders can't charge equipment, need electricity! Ambulance stuck, need assistance clearing roads! Food distribution center is empty, need immediate assistance!",0,1,1,0,0,0,0,0,0,1,0
68,"Roads destroyed, blocking aid transport! Floodwaters rising, we need evacuation now! Emergency responders can't charge equipment, need electricity!",0,1,0,1,0,0,1,0,0,0,0
69,"Hospital overcrowded, need more medical staff! Our house was destroyed, need shelter urgently!",0,0,0,0,1,0,0,0,1,0,0
70,"No doctors or first aid available, please help! Families are starving, emergency food needed!",0,0,1,0,1,0,0,0,0,0,0
71,"No way to evacuate, transport needed urgently! Water supply cut off, no drinking water available! Buildings unstable, engineers needed for inspection!",0,0,0,1,0,0,0,0,0,1,1
72,"Helicopter rescue required, no way to escape! Water pipelines broken, supply disrupted!",0,0,0,1,0,0,1,0,0,0,0
73,"No radio signals, emergency response affected!",1,0,0,0,0,0,0,0,0,0,0
74,"No way to evacuate, transport needed urgently! Urgent need for antibiotics and painkillers! Generators running out of fuel, shelters in darkness! Water pipelines broken, supply disrupted!",0,1,0,1,1,0,0,0,0,1,0
75,"Generators running out of fuel, shelters in darkness!",0,1,0,0,0,0,0,0,0,0,0
76,"Hospitals need power backup immediately! Floodwaters contaminated our water supply, need purification! Families are starving, emergency food needed! Need satellite phones for coordination!",1,1,1,0,0,0,0,0,0,0,1
77,"Roads destroyed, blocking aid transport! Garbage piling up, need sanitation workers now! No way to evacuate, transport needed urgently!",0,0,0,1,0,0,0,1,0,1,0
78,"Urgent need for antibiotics and painkillers! Floodwaters rising, we need evacuation now! Garbage piling up, need sanitation workers now! No power for days, need electricity restoration!",0,1,0,0,1,0,1,1,0,0,0
79,"Medical aid needed, many are injured! Floodwaters rising, we need evacuation now!",0,0,0,0,1,0,1,0,0,0,0
80,"Hygiene kits needed to prevent disease spread! Water pipelines broken, supply disrupted! No radio signals, emergency response affected! People with chronic illnesses need immediate medication!",1,0,0,1,1,0,0,1,0,0,0
81,"Hospitals need power backup immediately! Lost contact with loved ones, any updates? We have no food left, please send supplies! Hospital overcrowded, need more medical staff!",1,1,1,0,1,0,0,0,0,0,0
82,"People with chronic illnesses need immediate medication! Roads destroyed, blocking aid transport! Power lines down, no electricity in the area!",0,1,0,1,1,0,0,0,0,0,0
83,"Families are starving, emergency food needed! No toilets, sanitation crisis happening! Urgent: Clean water required for survival! Floodwaters rising, we need evacuation now!",0,0,1,0,0,0,1,1,0,0,1
84,"Food distribution center is empty, need immediate assistance! Public buildings damaged, unsafe for use! Generators running out of fuel, shelters in darkness! Garbage piling up, need sanitation workers now!",0,1,1,1,0,0,0,1,0,0,0
85,"Lost contact with loved ones, any updates?",1,0,0,0,0,0,0,0,0,0,0
86,"Food distribution center is empty, need immediate assistance!",0,0,1,0,0,0,0,0,0,0,0
87,"Urgent: Clean water required for survival! Airport shut down, supplies not reaching us! Generators running out of fuel, shelters in darkness!",0,1,0,0,0,0,0,0,0,1,1
88,Families with children need safe shelters!,0,0,0,0,0,0,0,0,1,0,0
89,"Sewage leaking, risk of outbreak!",0,0,0,0,0,0,0,1,0,0,0
90,"Food distribution center is empty, need immediate assistance! Water supply cut off, no drinking water available! No soap or clean water, people getting sick!",0,0,1,0,0,0,0,1,0,0,1
91,"No doctors or first aid available, please help! We need bottled water and filtration kits! No way to evacuate, transport needed urgently!",0,0,0,0,1,0,0,0,0,1,1
92,"No toilets, sanitation crisis happening! Urgent need for antibiotics and painkillers! People are trapped, rescue teams needed!",0,0,0,0,1,0,1,1,0,0,0
94,"Sewage leaking, risk of outbreak! Generators running out of fuel, shelters in darkness! Floodwaters contaminated our water supply, need purification! Ambulance stuck, need assistance clearing roads!",0,1,0,0,0,0,0,1,0,1,1
95,"Water pipelines broken, supply disrupted! We need canned food, baby formula, and clean drinking water!",0,0,1,1,0,0,0,0,0,0,0
96,"Water supply cut off, no drinking water available! Hospital overcrowded, need more medical staff!",0,0,0,0,1,0,0,0,0,0,1
97,"Water pipelines broken, supply disrupted! Helicopter rescue required, no way to escape! Water supply cut off, no drinking water available!",0,0,0,1,0,0,1,0,0,0,1
98,"Food distribution center is empty, need immediate assistance! Phone networks down, no way to call for help! Water supply cut off, no drinking water available! Emergency responders can't charge equipment, need electricity!",1,1,1,0,0,0,0,0,0,0,1
100,"Bridge collapsed, need alternative routes! We need canned food, baby formula, and clean drinking water! Sewage leaking, risk of outbreak! Emergency responders can't charge equipment, need electricity!",0,1,1,0,0,0,0,1,0,1,0
101,We need bottled water and filtration kits!,0,0,0,0,0,0,0,0,0,0,1
102,"Ambulance stuck, need assistance clearing roads! Hunger crisis here, send food packages urgently! Phone networks down, no way to call for help!",1,0,1,0,0,0,0,0,0,1,0
105,"Power lines down, no electricity in the area!",0,1,0,0,0,0,0,0,0,0,0
106,"Roads blocked, can't transport food and aid! Water pipelines broken, supply disrupted! Urgent: Clean water required for survival! No power for days, need electricity restoration!",0,1,0,1,0,0,0,0,0,1,1
107,"Floodwaters contaminated our water supply, need purification!",0,0,0,0,0,0,0,0,0,0,1
108,"We have no food left, please send supplies! Families with children need safe shelters! Floodwaters contaminated our water supply, need purification!",0,0,1,0,0,0,0,0,1,0,1
109,"Power lines down, no electricity in the area! Hospital overcrowded, need more medical staff! A building collapsed, people are inside!",0,1,0,0,1,0,1,0,0,0,0
110,"No doctors or first aid available, please help!",0,0,0,0,1,0,0,0,0,0,0
111,"No place to stay, sleeping outside in the cold! Floodwaters contaminated our water supply, need purification! Helicopter rescue required, no way to escape!",0,0,0,0,0,0,1,0,1,0,1
112,"No power for days, need electricity restoration! Garbage piling up, need sanitation workers now! Roads blocked, can't transport food and aid! We need tents and blankets, it's freezing!",0,1,0,0,0,0,0,1,1,1,0
113,"Running out of clean water, people are dehydrated!",0,0,0,0,0,0,0,0,0,0,1
114,"No radio signals, emergency response affected! We need tents and blankets, it's freezing!",1,0,0,0,0,0,0,0,1,0,0
115,"We need canned food, baby formula, and clean drinking water! Evacuation centers are full, more shelter required!",0,0,1,0,0,0,0,0,1,0,0
116,"A building collapsed, people are inside! No doctors or first aid available, please help!",0,0,0,0,1,0,1,0,0,0,0
117,"Elderly and disabled stuck, urgent rescue help required! No power for days, need electricity restoration! Running out of clean water, people are dehydrated! We have no food left, please send supplies!",0,1,1,0,0,0,1,0,0,0,1
118,"Airport shut down, supplies not reaching us!",0,0,0,0,0,0,0,0,0,1,0
119,"Power lines down, no electricity in the area! We have no food left, please send supplies! Roads destroyed, blocking aid transport!",0,1,1,1,0,0,0,0,0,0,0
120,Need satellite phones for coordination!,1,0,0,0,0,0,0,0,0,0,0
121,"Sewage leaking, risk of outbreak! Water supply cut off, no drinking water available! We have no food left, please send supplies!",0,0,1,0,0,0,0,1,0,0,1
122,"Bridge collapsed, need alternative routes! Phone networks down, no way to call for help! No soap or clean water, people getting sick!",1,0,0,0,0,0,0,1,0,1,0
123,"We need canned food, baby formula, and clean drinking water! No way to evacuate, transport needed urgently! We need tents and blankets, it's freezing!",0,0,1,0,0,0,0,0,1,1,0
124,"Water pipelines broken, supply disrupted! Power lines down, no electricity in the area! Airport shut down, supplies not reaching us! Urgent: Clean water required for survival!",0,1,0,1,0,0,0,0,0,1,1
125,"Families are starving, emergency food needed! A building collapsed, people are inside! No radio signals, emergency response affected!",1,0,1,0,0,0,1,0,0,0,0
126,"Hospital overcrowded, need more medical staff! Running out of clean water, people are dehydrated!",0,0,0,0,1,0,0,0,0,0,1
127,"Need satellite phones for coordination! Our house was destroyed, need shelter urgently!",1,0,0,0,0,0,0,0,1,0,0
129,"Bridge collapsed, need alternative routes! Internet failure, can't reach authorities! Generators running out of fuel, shelters in darkness!",1,1,0,0,0,0,0,0,0,1,0
130,"Emergency responders can't charge equipment, need electricity! Garbage piling up, need sanitation workers now!",0,1,0,0,0,0,0,1,0,0,0
133,"Airport shut down, supplies not reaching us! Bridges collapsed, can't access affected areas!",0,0,0,1,0,0,0,0,0,1,0
134,"Internet failure, can't reach authorities!",1,0,0,0,0,0,0,0,0,0,0
135,"Families are starving, emergency food needed! No way to evacuate, transport needed urgently!",0,0,1,0,0,0,0,0,0,1,0
137,"Bridge collapsed, need alternative routes! Urgent: Clean water required for survival!",0,0,0,0,0,0,0,0,0,1,1
138,"No way to evacuate, transport needed urgently! No power for days, need electricity restoration!",0,1,0,0,0,0,0,0,0,1,0
139,"Hospitals need power backup immediately! Urgent need for antibiotics and painkillers! Ambulance stuck, need assistance clearing roads! Buildings unstable, engineers needed for inspection!",0,1,0,1,1,0,0,0,0,1,0
140,"Emergency responders can't charge equipment, need electricity! We need bottled water and filtration kits! Hygiene kits needed to prevent disease spread!",0,1,0,0,0,0,0,1,0,0,1
141,"No toilets, sanitation crisis happening! Floodwaters contaminated our water supply, need purification!",0,0,0,0,0,0,0,1,0,0,1
142,"Water pipelines broken, supply disrupted! No doctors or first aid available, please help!",0,0,0,1,1,0,0,0,0,0,0
143,"No doctors or first aid available, please help! We need bottled water and filtration kits!",0,0,0,0,1,0,0,0,0,0,1
144,"We need tents and blankets, it's freezing! People with chronic illnesses need immediate medication!",0,0,0,0,1,0,0,0,1,0,0
145,"Running out of clean water, people are dehydrated! A building collapsed, people are inside! Public buildings damaged, unsafe for use!",0,0,0,1,0,0,1,0,0,0,1
146,"No radio signals, emergency response affected! Floodwaters rising, we need evacuation now!",1,0,0,0,0,0,1,0,0,0,0
147,Urgent need for antibiotics and painkillers!,0,0,0,0,1,0,0,0,0,0,0
148,"Running out of clean water, people are dehydrated! We need canned food, baby formula, and clean drinking water! Sewage leaking, risk of outbreak!",0,0,1,0,0,0,0,1,0,0,1
149,"No way to evacuate, transport needed urgently! Sewage leaking, risk of outbreak!",0,0,0,0,0,0,0,1,0,1,0
151,"No way to evacuate, transport needed urgently!",0,0,0,0,0,0,0,0,0,1,0
152,"Hygiene kits needed to prevent disease spread! We need canned food, baby formula, and clean drinking water! No place to stay, sleeping outside in the cold!",0,0,1,0,0,0,0,1,1,0,0
153,"We need bottled water and filtration kits! We have no food left, please send supplies!",0,0,1,0,0,0,0,0,0,0,1
154,"Ambulance stuck, need assistance clearing roads! Garbage piling up, need sanitation workers now! We need canned food, baby formula, and clean drinking water!",0,0,1,0,0,0,0,1,0,1,0
155,"Sewage leaking, risk of outbreak! Urgent: Clean water required for survival!",0,0,0,0,0,0,0,1,0,0,1
156,"Elderly and disabled stuck, urgent rescue help required! No doctors or first aid available, please help! Generators running out of fuel, shelters in darkness!",0,1,0,0,1,0,1,0,0,0,0
158,"Families with children need safe shelters! Sewage leaking, risk of outbreak! Hunger crisis here, send food packages urgently! Floodwaters contaminated our water supply, need purification!",0,0,1,0,0,0,0,1,1,0,1
159,"Floodwaters rising, we need evacuation now! Roads destroyed, blocking aid transport! No way to evacuate, transport needed urgently!",0,0,0,1,0,0,1,0,0,1,0
160,Hygiene kits needed to prevent disease spread!,0,0,0,0,0,0,0,1,0,0,0
161,"Generators running out of fuel, shelters in darkness! Roads blocked, can't transport food and aid! No doctors or first aid available, please help!",0,1,0,0,1,0,0,0,0,1,0
163,"We need tents and blankets, it's freezing! Roads destroyed, blocking aid transport!",0,0,0,1,0,0,0,0,1,0,0
164,"Ambulance stuck, need assistance clearing roads! Water pipelines broken, supply disrupted! Power lines down, no electricity in the area! Families with children need safe shelters!",0,1,0,1,0,0,0,0,1,1,0
165,"Garbage piling up, need sanitation workers now! We have no food left, please send supplies! Phone networks down, no way to call for help!",1,0,1,0,0,0,0,1,0,0,0
166,"Generators running out of fuel, shelters in darkness! A building collapsed, people are inside! Food distribution center is empty, need immediate assistance!",0,1,1,0,0,0,1,0,0,0,0
167,"We have no food left, please send supplies! Medical aid needed, many are injured! Evacuation centers are full, more shelter required! Water supply cut off, no drinking water available!",0,0,1,0,1,0,0,0,1,0,1
168,"Urgent: Clean water required for survival! No place to stay, sleeping outside in the cold! Lost contact with loved ones, any updates?",1,0,0,0,0,0,0,0,1,0,1
169,"Ambulance stuck, need assistance clearing roads! Running out of clean water, people are dehydrated! Roads destroyed, blocking aid transport!",0,0,0,1,0,0,0,0,0,1,1
170,"Public buildings damaged, unsafe for use!",0,0,0,1,0,0,0,0,0,0,0
171,"Bridge collapsed, need alternative routes! Roads destroyed, blocking aid transport!",0,0,0,1,0,0,0,0,0,1,0
172,"Public buildings damaged, unsafe for use! Urgent: Clean water required for survival! Airport shut down, supplies not reaching us! A building collapsed, people are inside!",0,0,0,1,0,0,1,0,0,1,1
173,Urgent need for antibiotics and painkillers! Hygiene kits needed to prevent disease spread!,0,0,0,0,1,0,0,1,0,0,0
174,"Water pipelines broken, supply disrupted! We have no food left, please send supplies!",0,0,1,1,0,0,0,0,0,0,0
175,"Garbage piling up, need sanitation workers now! People with chronic illnesses need immediate medication!",0,0,0,0,1,0,0,1,0,0,0
176,"Hunger crisis here, send food packages urgently! Floodwaters rising, we need evacuation now! Our house was destroyed, need shelter urgently!",0,0,1,0,0,0,1,0,1,0,0
178,"Our house was destroyed, need shelter urgently! Hospital overcrowded, need more medical staff!",0,0,0,0,1,0,0,0,1,0,0
179,"Water pipelines broken, supply disrupted! Families with children need safe shelters! Roads blocked, can't transport food and aid! People with chronic illnesses need immediate medication!",0,0,0,1,1,0,0,0,1,1,0
181,"Families with children need safe shelters! Lost contact with loved ones, any updates?",1,0,0,0,0,0,0,0,1,0,0
182,"Hunger crisis here, send food packages urgently! We need tents and blankets, it's freezing!",0,0,1,0,0,0,0,0,1,0,0
183,"Airport shut down, supplies not reaching us! Power lines down, no electricity in the area!",0,1,0,0,0,0,0,0,0,1,0
184,"Phone networks down, no way to call for help! A building collapsed, people are inside! No toilets, sanitation crisis happening!",1,0,0,0,0,0,1,1,0,0,0
185,"Hospital overcrowded, need more medical staff!",0,0,0,0,1,0,0,0,0,0,0
186,"We have no food left, please send supplies! Power lines down, no electricity in the area! Evacuation centers are full, more shelter required! Medical aid needed, many are injured!",0,1,1,0,1,0,0,0,1,0,0
187,"Buildings unstable, engineers needed for inspection! Running out of clean water, people are dehydrated! No power for days, need electricity restoration! Phone networks down, no way to call for help!",1,1,0,1,0,0,0,0,0,0,1
188,"Food distribution center is empty, need immediate assistance! Floodwaters contaminated our water supply, need purification! Medical aid needed, many are injured!",0,0,1,0,1,0,0,0,0,0,1
189,"Roads destroyed, blocking aid transport! Urgent: Clean water required for survival! Hygiene kits needed to prevent disease spread!",0,0,0,1,0,0,0,1,0,0,1
192,"Floodwaters rising, we need evacuation now! Bridges collapsed, can't access affected areas!",0,0,0,1,0,0,1,0,0,0,0
193,"Buildings unstable, engineers needed for inspection!",0,0,0,1,0,0,0,0,0,0,0
194,"Need satellite phones for coordination! Roads blocked, can't transport food and aid! Hygiene kits needed to prevent disease spread!",1,0,0,0,0,0,0,1,0,1,0
195,"Our house was destroyed, need shelter urgently! Buildings unstable, engineers needed for inspection! No doctors or first aid available, please help!",0,0,0,1,1,0,0,0,1,0,0
